Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_name,lat,lng,population,density,timezone,Year,Month,Day,ma_last_7d,ma_last_30d,ma_last_quarter,AQI_lag_1days,AQI_lag_7days,AQI_lag_30days,AQI_lag_365days
1980-12-31,202,Very Unhealthy,CO,23,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1980,12,31,204.0,189.73333333333332,185.7032967032967,208.0,240.0,106.0,159.0
1981-01-01,274,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,1,210.14285714285714,193.86666666666667,185.02197802197801,202.0,231.0,150.0,136.0
1981-01-02,120,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,2,204.57142857142858,193.7,183.16483516483515,274.0,159.0,125.0,133.0
1981-01-03,110,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,3,191.14285714285714,195.2,181.32967032967034,120.0,204.0,65.0,159.0
1981-01-04,118,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,4,179.42857142857142,196.4,179.6043956043956,110.0,200.0,82.0,142.0
1981-01-05,223,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,5,179.28571428571428,201.0,179.17582417582418,118.0,224.0,85.0,125.0
1981-01-06,234,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,6,183.0,205.8,178.45054945054946,223.0,208.0,90.0,105.0
1981-01-07,198,Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,7,182.42857142857142,207.73333333333332,177.35164835164835,234.0,202.0,140.0,89.0
1981-01-08,142,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,8,163.57142857142858,207.36666666666667,175.67032967032966,198.0,274.0,153.0,79.0
1981-01-09,208,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,9,176.14285714285714,206.7,174.9120879120879,142.0,120.0,228.0,68.0
1981-01-10,230,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,10,193.28571428571428,206.36666666666667,174.17582417582418,208.0,110.0,240.0,68.0
1981-01-11,108,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,11,191.85714285714286,201.63333333333333,172.87912087912088,230.0,118.0,250.0,40.0
1981-01-12,111,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,12,175.85714285714286,196.56666666666666,172.7912087912088,108.0,223.0,263.0,43.0
1981-01-13,111,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,13,158.28571428571428,192.66666666666666,172.9120879120879,111.0,234.0,228.0,49.0
1981-01-14,125,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,14,147.85714285714286,189.06666666666666,173.53846153846155,111.0,198.0,233.0,68.0
1981-01-15,140,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,15,147.57142857142858,185.56666666666666,174.2087912087912,125.0,142.0,245.0,89.0
1981-01-16,114,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,16,134.14285714285714,181.1,174.2967032967033,140.0,208.0,248.0,89.0
1981-01-17,151,Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,17,122.85714285714286,181.6,174.69230769230768,114.0,230.0,136.0,57.0
1981-01-18,140,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,18,127.42857142857143,179.6,174.93406593406593,151.0,108.0,200.0,100.0
1981-01-19,125,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,19,129.42857142857142,176.6,174.98901098901098,140.0,111.0,215.0,123.0
1981-01-20,105,Unhealthy for Sensitive Groups,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,20,128.57142857142858,172.6,174.42857142857142,125.0,111.0,225.0,138.0
